0,1,2,3,4,5,6,7
0.032,-0.156,0.027000000000000003,0.027000000000000003,0.002,-0.122,-0.034,-0.151
-0.071,-0.107,0.0,0.051,-0.17800000000000002,-0.132,-0.078,-0.051
-0.132,-0.042,-0.044000000000000004,0.012,-0.09300000000000001,-0.12,-0.183,-0.1
-0.129,-0.122,0.002,0.037000000000000005,-0.09300000000000001,-0.28800000000000003,-0.156,-0.09
0.022000000000000002,-0.129,-0.14400000000000002,-0.08800000000000001,-0.024,-0.083,-0.129,-0.098
-0.027000000000000003,-0.142,-0.071,-0.127,-0.1,-0.193,-0.149,-0.081
-0.127,-0.16399999999999998,-0.13699999999999998,-0.154,-0.107,-0.127,-0.195,-0.068
-0.2,-0.127,-0.222,-0.1,-0.028999999999999998,-0.017,-0.168,-0.14400000000000002
-0.21,-0.071,-0.20800000000000002,-0.09,-0.005,-0.1,-0.098,-0.18100000000000002
-0.14400000000000002,-0.115,-0.317,-0.20800000000000002,-0.085,-0.078,-0.063,-0.095
-0.122,0.017,-0.23399999999999999,-0.315,-0.055999999999999994,0.024,0.027000000000000003,-0.12
-0.18600000000000003,-0.095,-0.315,-0.251,-0.076,-0.078,0.039,-0.166
-0.205,-0.078,-0.266,-0.151,-0.098,-0.078,-0.09,-0.16399999999999998
-0.198,-0.063,-0.149,-0.078,-0.2,0.051,-0.076,-0.161
-0.151,-0.122,-0.122,-0.149,-0.325,0.085,-0.115,-0.055999999999999994
-0.022000000000000002,-0.132,-0.17300000000000001,-0.039,-0.081,-0.122,-0.063,-0.1
-0.059000000000000004,-0.09,-0.171,-0.11699999999999999,-0.122,0.02,-0.11199999999999999,-0.139
-0.122,-0.139,-0.034,-0.083,-0.17800000000000002,-0.188,-0.071,0.015
-0.071,0.006999999999999999,0.1,-0.054000000000000006,-0.146,-0.254,-0.183,0.042
-0.132,-0.015,-0.09300000000000001,-0.02,-0.027000000000000003,-0.13699999999999998,-0.129,0.083
-0.12,-0.12,-0.037000000000000005,-0.01,-0.20800000000000002,-0.105,-0.156,0.022000000000000002
-0.039,-0.037000000000000005,-0.039,-0.061,-0.11699999999999999,-0.23199999999999998,-0.122,-0.002
-0.022000000000000002,-0.166,0.027000000000000003,-0.17300000000000001,-0.015,0.006999999999999999,-0.193,-0.032
-0.078,-0.095,0.037000000000000005,-0.1,-0.188,-0.13699999999999998,-0.17800000000000002,0.071
-0.105,-0.125,-0.059000000000000004,-0.14400000000000002,-0.14400000000000002,-0.098,-0.18100000000000002,-0.11699999999999999
-0.105,-0.005,0.015,-0.13699999999999998,-0.08800000000000001,-0.18100000000000002,-0.076,-0.11699999999999999
-0.085,-0.12,-0.127,-0.183,-0.006999999999999999,-0.039,-0.11199999999999999,-0.1
-0.10300000000000001,-0.051,-0.11699999999999999,-0.22,-0.083,-0.11699999999999999,-0.095,-0.151
-0.151,-0.1,-0.17600000000000002,-0.09300000000000001,0.051,-0.071,-0.054000000000000006,-0.198
-0.195,-0.17300000000000001,-0.156,-0.166,0.039,-0.13699999999999998,0.006999999999999999,-0.151
-0.18600000000000003,-0.11699999999999999,-0.22,-0.183,0.028999999999999998,-0.037000000000000005,-0.027000000000000003,-0.132
-0.183,-0.059000000000000004,-0.171,-0.195,0.027000000000000003,-0.095,-0.054000000000000006,-0.139
-0.134,-0.027000000000000003,-0.166,-0.242,-0.063,-0.083,-0.09,-0.055999999999999994
-0.171,-0.049,-0.168,-0.18600000000000003,0.09300000000000001,-0.002,-0.146,-0.14400000000000002
-0.195,-0.098,-0.127,-0.149,-0.12,0.042,-0.11199999999999999,-0.18600000000000003
-0.11699999999999999,-0.071,-0.098,-0.149,0.01,-0.107,-0.071,-0.151
-0.095,-0.107,-0.134,-0.156,-0.024,-0.11,-0.11699999999999999,-0.125
-0.055999999999999994,-0.107,-0.11199999999999999,-0.127,-0.071,-0.188,-0.171,-0.076
0.044000000000000004,-0.10300000000000001,-0.10300000000000001,-0.168,-0.18600000000000003,-0.107,-0.14400000000000002,-0.071
-0.039,-0.139,-0.071,-0.01,-0.024,-0.18100000000000002,-0.073,-0.132
-0.127,-0.09,-0.005,-0.006999999999999999,-0.046,-0.281,-0.044000000000000004,-0.14400000000000002
-0.1,-0.032,0.005,0.015,-0.244,-0.159,-0.09,-0.085
0.015,-0.11199999999999999,-0.032,-0.095,-0.237,-0.066,-0.2,-0.105
0.002,-0.132,0.012,-0.098,-0.21,-0.242,-0.239,-0.107
-0.01,-0.071,0.002,-0.063,-0.055999999999999994,-0.254,-0.242,-0.055999999999999994
-0.142,-0.107,0.017,-0.17600000000000002,-0.198,-0.059000000000000004,-0.139,-0.024
-0.156,-0.215,0.042,-0.154,-0.256,-0.078,-0.161,-0.09300000000000001
-0.125,-0.198,-0.166,-0.16399999999999998,-0.171,-0.068,-0.14400000000000002,-0.054000000000000006
-0.14400000000000002,-0.17800000000000002,-0.13699999999999998,-0.237,-0.054000000000000006,-0.01,-0.115,-0.022000000000000002
-0.2,-0.027000000000000003,-0.225,-0.264,-0.159,0.027000000000000003,-0.08800000000000001,-0.085
-0.244,0.0,-0.28600000000000003,-0.183,-0.017,-0.098,-0.006999999999999999,-0.21
-0.259,-0.015,-0.2,-0.264,0.085,-0.127,-0.054000000000000006,-0.105
-0.20800000000000002,-0.059000000000000004,-0.22,-0.183,-0.027000000000000003,-0.095,-0.042,-0.066
-0.146,-0.098,-0.247,-0.171,-0.042,-0.027000000000000003,-0.11699999999999999,-0.19
-0.11699999999999999,-0.22699999999999998,-0.17800000000000002,-0.151,-0.017,-0.09,0.0,-0.22
-0.068,-0.161,-0.1,-0.264,-0.024,-0.217,0.042,-0.13699999999999998
-0.122,-0.08800000000000001,-0.095,-0.061,-0.129,-0.12,0.006999999999999999,-0.063
-0.11699999999999999,-0.193,-0.205,-0.046,-0.146,-0.034,-0.059000000000000004,-0.105
-0.02,-0.127,-0.23199999999999998,-0.032,-0.276,-0.037000000000000005,-0.13699999999999998,-0.063
-0.049,-0.14400000000000002,-0.08800000000000001,-0.134,-0.08800000000000001,-0.063,-0.154,-0.02
-0.006999999999999999,-0.139,0.051,-0.107,-0.054000000000000006,-0.139,-0.083,-0.002
0.005,-0.115,-0.068,0.015,-0.242,-0.20800000000000002,-0.034,0.032
-0.039,-0.028999999999999998,0.006999999999999999,0.017,-0.298,-0.066,-0.139,0.015
-0.059000000000000004,-0.022000000000000002,0.125,-0.051,-0.22699999999999998,-0.273,-0.139,0.02
-0.042,-0.122,0.105,-0.051,0.034,-0.149,-0.105,-0.042
-0.02,-0.132,-0.002,-0.081,-0.044000000000000004,-0.10300000000000001,-0.083,-0.006999999999999999
-0.08800000000000001,-0.168,-0.09300000000000001,-0.12,-0.015,-0.059000000000000004,-0.134,-0.098
-0.105,-0.11,-0.02,-0.061,-0.154,-0.005,-0.156,-0.085
-0.11199999999999999,-0.161,-0.076,-0.132,0.015,-0.115,-0.193,-0.09
-0.2,0.071,-0.17800000000000002,-0.127,0.0,0.0,-0.166,-0.068
-0.251,-0.049,-0.2,-0.146,0.059000000000000004,-0.115,-0.08800000000000001,-0.107
-0.166,-0.11199999999999999,-0.19,-0.159,-0.059000000000000004,0.005,-0.098,-0.129
-0.095,-0.127,-0.17800000000000002,-0.23399999999999999,-0.037000000000000005,-0.078,-0.059000000000000004,-0.149
-0.17800000000000002,-0.098,-0.212,-0.142,-0.09,-0.037000000000000005,-0.09300000000000001,-0.18600000000000003
-0.215,-0.115,-0.261,-0.122,-0.073,-0.215,-0.083,-0.195
-0.188,-0.107,-0.161,-0.028999999999999998,0.012,0.054000000000000006,-0.054000000000000006,-0.293
-0.122,-0.125,-0.17300000000000001,-0.105,-0.14400000000000002,-0.01,0.01,-0.168
-0.122,-0.12,-0.134,-0.11199999999999999,-0.098,-0.032,-0.068,-0.2
-0.01,-0.17600000000000002,-0.11,-0.055999999999999994,-0.076,0.032,-0.115,-0.061
-0.034,-0.217,-0.059000000000000004,-0.002,-0.083,-0.044000000000000004,-0.198,-0.012
0.005,-0.154,-0.024,0.068,-0.26899999999999996,-0.14400000000000002,-0.22,-0.015
-0.027000000000000003,-0.154,-0.017,0.034,-0.195,-0.205,-0.18100000000000002,-0.046
0.054000000000000006,-0.205,-0.002,0.012,-0.212,-0.21,-0.11,-0.134
0.059000000000000004,-0.193,-0.071,0.034,-0.139,-0.23199999999999998,-0.078,-0.129
-0.073,-0.166,-0.049,0.059000000000000004,-0.034,-0.183,-0.156,-0.142
-0.127,-0.132,-0.044000000000000004,-0.055999999999999994,-0.168,-0.032,-0.09300000000000001,-0.11
-0.151,-0.071,-0.006999999999999999,-0.044000000000000004,-0.161,-0.205,-0.049,-0.154
-0.063,-0.107,-0.11,-0.171,-0.08800000000000001,0.068,-0.059000000000000004,-0.188
-0.08800000000000001,-0.139,-0.195,-0.11199999999999999,-0.132,-0.239,-0.105,-0.10300000000000001
-0.134,-0.068,-0.271,-0.215,-0.156,0.095,-0.154,0.042
-0.247,0.024,-0.212,-0.254,-0.10300000000000001,-0.23199999999999998,-0.159,-0.098
-0.22699999999999998,0.024,-0.183,-0.298,-0.125,-0.049,-0.08800000000000001,0.006999999999999999
-0.107,-0.054000000000000006,-0.332,-0.139,-0.105,-0.039,-0.073,0.034
-0.083,-0.017,-0.205,-0.068,-0.23199999999999998,-0.061,-0.034,-0.027000000000000003
-0.19,-0.028999999999999998,-0.205,-0.29100000000000004,-0.005,-0.20800000000000002,-0.076,-0.071
