timestamp,"Winter negative temperature sum (in deg. C), 1781 ? 1988",assetno
0,272.3,TSFAD_A1
0,207.8,TSFAD_A1
0,545.7,TSFAD_A1
0,557.5,TSFAD_A1
0,260.6,TSFAD_A1
0,261.1,TSFAD_A1
0,118.5,TSFAD_A1
0,568.7,TSFAD_A1
0,97.7,TSFAD_A1
0,123.5,TSFAD_A1
0,282.8,TSFAD_A1
0,182.9,TSFAD_A1
0,49.1,TSFAD_A1
0,387.5,TSFAD_A1
0,134.9,TSFAD_A1
0,233.6,TSFAD_A1
0,104.7,TSFAD_A1
0,422.7,TSFAD_A1
0,345.6,TSFAD_A1
0,110.7,TSFAD_A1
0,323.8,TSFAD_A1
0,346.2,TSFAD_A1
0,212.9,TSFAD_A1
0,441.8,TSFAD_A1
0,169.7,TSFAD_A1
0,130.0,TSFAD_A1
0,251.0,TSFAD_A1
0,351.3,TSFAD_A1
0,298.8,TSFAD_A1
0,206.1,TSFAD_A1
0,175.4,TSFAD_A1
0,464.7,TSFAD_A1
0,443.3,TSFAD_A1
0,177.7,TSFAD_A1
0,292.9,TSFAD_A1
0,124.4,TSFAD_A1
0,146.5,TSFAD_A1
0,156.8,TSFAD_A1
0,332.8,TSFAD_A1
0,319.6,TSFAD_A1
0,42.3,TSFAD_A1
0,339.0,TSFAD_A1
0,116.4,TSFAD_A1
0,172.4,TSFAD_A1
0,281.0,TSFAD_A1
0,322.7,TSFAD_A1
0,175.3,TSFAD_A1
0,351.4,TSFAD_A1
0,764.9,TSFAD_A1
0,259.8,TSFAD_A1
0,225.2,TSFAD_A1
0,239.3,TSFAD_A1
0,72.5,TSFAD_A1
0,180.2,TSFAD_A1
0,401.2,TSFAD_A1
0,276.2,TSFAD_A1
0,440.8,TSFAD_A1
0,252.2,TSFAD_A1
0,173.6,TSFAD_A1
0,424.0,TSFAD_A1
0,313.8,TSFAD_A1
0,177.6,TSFAD_A1
0,204.6,TSFAD_A1
0,526.4,TSFAD_A1
0,131.1,TSFAD_A1
0,381.7,TSFAD_A1
0,353.5,TSFAD_A1
0,204.3,TSFAD_A1
0,432.1,TSFAD_A1
0,155.6,TSFAD_A1
0,282.1,TSFAD_A1
0,191.9,TSFAD_A1
0,430.0,TSFAD_A1
0,306.7,TSFAD_A1
0,300.8,TSFAD_A1
0,310.3,TSFAD_A1
0,424.5,TSFAD_A1
0,295.3,TSFAD_A1
0,387.1,TSFAD_A1
0,320.6,TSFAD_A1
0,268.5,TSFAD_A1
0,105.5,TSFAD_A1
0,353.5,TSFAD_A1
0,392.9,TSFAD_A1
0,116.0,TSFAD_A1
0,179.5,TSFAD_A1
0,316.7,TSFAD_A1
0,285.8,TSFAD_A1
0,487.0,TSFAD_A1
0,500.2,TSFAD_A1
0,463.7,TSFAD_A1
0,103.0,TSFAD_A1
0,244.9,TSFAD_A1
0,429.9,TSFAD_A1
0,409.4,TSFAD_A1
0,143.2,TSFAD_A1
0,225.2,TSFAD_A1
0,277.5,TSFAD_A1
0,631.7,TSFAD_A1
0,230.8,TSFAD_A1
0,159.4,TSFAD_A1
0,205.3,TSFAD_A1
0,91.4,TSFAD_A1
0,331.3,TSFAD_A1
0,400.7,TSFAD_A1
0,386.2,TSFAD_A1
0,404.2,TSFAD_A1
0,403.1,TSFAD_A1
0,378.8,TSFAD_A1
0,621.6,TSFAD_A1
0,317.0,TSFAD_A1
0,437.8,TSFAD_A1
0,341.6,TSFAD_A1
0,556.4,TSFAD_A1
0,233.5,TSFAD_A1
0,171.1,TSFAD_A1
0,155.6,TSFAD_A1
0,145.0,TSFAD_A1
0,320.6,TSFAD_A1
0,371.8,TSFAD_A1
0,123.3,TSFAD_A1
0,286.8,TSFAD_A1
0,231.6,TSFAD_A1
0,235.9,TSFAD_A1
0,232.5,TSFAD_A1
0,329.6,TSFAD_A1
0,276.3,TSFAD_A1
0,416.3,TSFAD_A1
0,160.9,TSFAD_A1
0,251.8,TSFAD_A1
0,129.7,TSFAD_A1
0,185.3,TSFAD_A1
0,205.7,TSFAD_A1
0,161.2,TSFAD_A1
0,127.0,TSFAD_A1
0,355.1,TSFAD_A1
0,286.3,TSFAD_A1
0,203.7,TSFAD_A1
0,122.3,TSFAD_A1
0,159.5,TSFAD_A1
0,383.7,TSFAD_A1
0,104.6,TSFAD_A1
0,378.4,TSFAD_A1
0,205.0,TSFAD_A1
0,215.3,TSFAD_A1
0,156.9,TSFAD_A1
0,170.2,TSFAD_A1
0,678.3,TSFAD_A1
0,191.1,TSFAD_A1
0,290.5,TSFAD_A1
0,343.1,TSFAD_A1
0,323.3,TSFAD_A1
0,358.1,TSFAD_A1
0,211.9,TSFAD_A1
0,178.3,TSFAD_A1
0,119.5,TSFAD_A1
0,158.6,TSFAD_A1
0,251.8,TSFAD_A1
0,563.1,TSFAD_A1
0,458.5,TSFAD_A1
0,553.7,TSFAD_A1
0,139.1,TSFAD_A1
0,204.5,TSFAD_A1
0,295.1,TSFAD_A1
0,217.1,TSFAD_A1
0,528.7,TSFAD_A1
0,128.8,TSFAD_A1
0,246.4,TSFAD_A1
0,133.4,TSFAD_A1
0,148.2,TSFAD_A1
0,173.5,TSFAD_A1
0,254.3,TSFAD_A1
0,338.7,TSFAD_A1
0,250.1,TSFAD_A1
0,471.0,TSFAD_A1
0,224.8,TSFAD_A1
0,266.5,TSFAD_A1
0,189.2,TSFAD_A1
0,199.0,TSFAD_A1
0,131.1,TSFAD_A1
0,314.2,TSFAD_A1
0,722.9,TSFAD_A1
0,401.6,TSFAD_A1
0,267.5,TSFAD_A1
0,214.1,TSFAD_A1
0,162.0,TSFAD_A1
0,209.3,TSFAD_A1
0,245.9,TSFAD_A1
0,357.7,TSFAD_A1
0,390.0,TSFAD_A1
0,126.0,TSFAD_A1
0,252.6,TSFAD_A1
0,116.3,TSFAD_A1
0,38.2,TSFAD_A1
0,231.7,TSFAD_A1
0,191.6,TSFAD_A1
0,228.0,TSFAD_A1
0,262.0,TSFAD_A1
0,128.3,TSFAD_A1
0,305.3,TSFAD_A1
0,326.2,TSFAD_A1
0,152.1,TSFAD_A1
0,277.1,TSFAD_A1
0,415.8,TSFAD_A1
0,355.8,TSFAD_A1
0,365.2,TSFAD_A1
0,92.2,TSFAD_A1
0,83.9,TSFAD_A1
